#               Rm(m)                 Rp(m)                Ωm(m3)                Ωp(m3)                μ(Am2)          Emx_ZFC(n.u.)          Emy_ZFC(n.u.)          Emz_ZFC(n.u.)           Emx_FC(n.u.)           Emy_FC(n.u.)           Emz_FC(n.u.)          Enx_ZFC(n.u.)          Eny_ZFC(n.u.)          Enz_ZFC(n.u.)           Enx_FC(n.u.)           Eny_FC(n.u.)           Enz_FC(n.u.)
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -9.283893563268512e-01 -3.615843546754064e-01  8.573189320774867e-02  5.515854694475218e-01 -4.778284774221070e-01 -6.836910238249644e-01 -6.626191530162034e-02 -7.645387949075872e-01 -6.411628417662827e-01 -6.626191530162034e-02 -7.645387949075872e-01 -6.411628417662827e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -2.692270691614287e-01 -2.742766058758484e-01 -9.231950653572472e-01 -5.075985235124033e-01  1.256304432480382e-01  8.523853181849917e-01 -7.967257272914393e-01  3.511842965621382e-01 -4.918309723066283e-01 -7.967257272914393e-01  3.511842965621382e-01 -4.918309723066283e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  8.424986124599358e-02 -1.992376570477616e-01 -9.763228548457469e-01  3.331690925092418e-01  4.150318077961800e-01 -8.466090917973909e-01  5.653230689404958e-02 -5.765501545041559e-03  9.983841231055165e-01  5.653230689404958e-02 -5.765501545041559e-03  9.983841231055165e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  8.447169435488264e-01  2.117714480011025e-01  4.915344739619442e-01 -5.563727092990759e-01 -7.676067404635536e-01  3.181655234970075e-01  7.834977371168480e-01  6.213814979064086e-01 -4.041038525734685e-03  7.834977371168480e-01  6.213814979064086e-01 -4.041038525734685e-03
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.008049270560773e-02 -4.936063185228115e-03  9.991842619780934e-01 -3.794223684694111e-01  1.734224733921565e-01 -9.088252373408263e-01 -1.340439346617308e-01  5.557936312081455e-02  9.894155638433663e-01 -1.340439346617308e-01  5.557936312081455e-02  9.894155638433663e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.298959623389765e-01  2.899664335347146e-01 -8.550490798707424e-01  1.397346312590703e-02  8.251844435081684e-02 -9.964915697938392e-01 -7.557042602744136e-02  9.952367759163329e-01 -6.158628559747924e-02 -7.557042602744136e-02  9.952367759163329e-01 -6.158628559747924e-02
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  2.870996654776553e-01 -5.919176429967025e-01 -7.531316524963261e-01  3.952419954564514e-01  6.137514171250260e-01  6.834419968107204e-01  3.504150976099678e-01 -3.422097377306444e-01 -8.718381471175256e-01  3.504150976099678e-01 -3.422097377306444e-01 -8.718381471175256e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.436171241907874e-01  8.192324368813840e-01 -5.551867577676518e-01  3.292546449565215e-01  3.604356639373572e-01  8.727413768904231e-01 -1.474957917748457e-02  1.077312939282557e-01 -9.940706303993851e-01 -1.474957917748457e-02  1.077312939282557e-01 -9.940706303993851e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19 -1.523867982078288e-01 -6.406283217718539e-02  9.862424738700946e-01  2.445278141802660e-01  8.679053967518273e-01 -4.323729528789637e-01  1.514697422919117e-02  1.171488352443179e-01  9.929988517478758e-01  1.514697422919117e-02  1.171488352443179e-01  9.929988517478758e-01
5.600000000000001e-09 6.600000000000001e-09 7.356185806037669e-25 1.204260428715269e-24 3.280858869492801e-19  4.425249485953229e-02 -1.241054031604188e-01  9.912817791148474e-01 -4.781262297542041e-01  2.645979429783144e-01 -8.374862607784529e-01 -4.769396592614530e-01 -4.155971146860618e-01 -7.744724654164210e-01 -4.769396592614530e-01 -4.155971146860618e-01 -7.744724654164210e-01
