#                t(s)                  T(K)             M_ZFC(A/m)              M_FC(A/m)
0.298000000000188E-06 0.448020000000280E+03  0.424692274380542E+05  0.393994637877584E+05
0.300000000000190E-06 0.451000000000283E+03  0.478430494908862E+05  0.342907735815581E+05
0.302000000000192E-06 0.453980000000286E+03  0.526822616054901E+05  0.343794500195254E+05
0.304000000000194E-06 0.456960000000290E+03  0.596218146370536E+05  0.389843042043304E+05
0.306000000000197E-06 0.459940000000293E+03  0.583171613230202E+05  0.460126198160492E+05
0.308000000000199E-06 0.462920000000297E+03  0.671374630631440E+05  0.433656462563143E+05
0.310000000000201E-06 0.465900000000300E+03  0.455695508899342E+05  0.555362078760877E+05
0.312000000000204E-06 0.468880000000303E+03  0.552937872017996E+05  0.529784189128173E+05
0.314000000000206E-06 0.471860000000307E+03  0.548227075050113E+05  0.458287419563417E+05
0.316000000000208E-06 0.474840000000310E+03  0.441447114164466E+05  0.555746208871955E+05
0.318000000000210E-06 0.477820000000313E+03  0.639186123491208E+05  0.466660620397215E+05
0.320000000000213E-06 0.480800000000317E+03  0.438178277909731E+05  0.495694751877230E+05
0.322000000000215E-06 0.483780000000320E+03  0.551601589971177E+05  0.451903673725773E+05
0.324000000000217E-06 0.486760000000324E+03  0.535603149961565E+05  0.423227043971659E+05
0.326000000000219E-06 0.489740000000327E+03  0.422152219456408E+05  0.416999152526591E+05
0.328000000000222E-06 0.492720000000330E+03  0.473878328279459E+05  0.213308109446910E+05
0.330000000000224E-06 0.495700000000334E+03  0.433022226182876E+05  0.128808047564307E+05
0.332000000000226E-06 0.498680000000337E+03  0.511445663086879E+05  0.117215550013242E+05
0.334000000000228E-06 0.501660000000340E+03  0.429327059497054E+05  0.150821572449162E+05
0.336000000000231E-06 0.504640000000344E+03  0.408769649964285E+05  0.227807799378308E+05
0.338000000000233E-06 0.507620000000347E+03  0.557708824316080E+05  0.299451793118655E+05
0.340000000000235E-06 0.510600000000351E+03  0.380238416128416E+05  0.383526212345235E+05
0.342000000000238E-06 0.513580000000354E+03  0.498282901549652E+05  0.390295846962850E+05
0.344000000000240E-06 0.516560000000357E+03  0.405707041182699E+05  0.399914864376186E+05
0.346000000000242E-06 0.519540000000361E+03  0.471841423363394E+05  0.539204787118488E+05
0.348000000000244E-06 0.522520000000364E+03  0.392562492474496E+05  0.429374360690122E+05
0.350000000000247E-06 0.525500000000368E+03  0.439705565298856E+05  0.265328442195875E+05
0.352000000000249E-06 0.528480000000371E+03  0.393554892473785E+05  0.160827583488856E+05
0.354000000000251E-06 0.531460000000374E+03  0.417051250656861E+05  0.226783712718101E+05
0.356000000000253E-06 0.534440000000378E+03  0.346586825722248E+05  0.281058272084573E+05
0.358000000000256E-06 0.537420000000381E+03  0.322299258342329E+05  0.405343726806796E+05
0.360000000000258E-06 0.540400000000384E+03  0.297968122346175E+05  0.388646153809620E+05
0.362000000000260E-06 0.543380000000388E+03  0.223925050319128E+05  0.380086378069477E+05
